,mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,2.0,8.0,4.51625,0.22625,5.85,2.70875,0.0,5.58,36.13,1.81,46.8,21.67,0.0,44.64
std,0.0,0.0,0.5396685173195288,0.32745527491660154,1.6044249103430466,0.15185615036619493,0.0,0.6013242961089375,4.3173481385562305,2.6196421993328123,12.835399282744373,1.2148492029295594,0.0,4.8105943688715
min,2.0,8.0,3.375,0.0,3.125,2.375,0.0,4.375,27.0,0.0,25.0,19.0,0.0,35.0
25%,2.0,8.0,4.125,0.0,4.625,2.625,0.0,5.125,33.0,0.0,37.0,21.0,0.0,41.0
50%,2.0,8.0,4.5,0.0,5.75,2.75,0.0,5.5,36.0,0.0,46.0,22.0,0.0,44.0
75%,2.0,8.0,4.875,0.5,6.5,2.75,0.0,5.875,39.0,4.0,52.0,22.0,0.0,47.0
max,2.0,8.0,6.25,1.0,11.125,3.125,0.0,7.375,50.0,8.0,89.0,25.0,0.0,59.0
