,mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,2.0,8.0,4.52875,0.21625,5.145,2.6675,0.42875,5.04875,36.23,1.73,41.16,21.34,3.43,40.39
std,0.0,0.0,0.4570764446595627,0.36056169354007206,1.0667021774392023,0.16592638625777895,0.5812340472449697,0.6841677739628584,3.6566115572765017,2.8844935483205765,8.533617419513618,1.3274110900622316,4.649872377959758,5.4733421917028675
min,2.0,8.0,3.375,0.0,3.25,2.25,0.0,3.5,27.0,0.0,26.0,18.0,0.0,28.0
25%,2.0,8.0,4.25,0.0,4.46875,2.5,0.0,4.625,34.0,0.0,35.75,20.0,0.0,37.0
50%,2.0,8.0,4.5,0.0,5.0,2.625,0.125,5.0,36.0,0.0,40.0,21.0,1.0,40.0
75%,2.0,8.0,4.875,0.5,5.65625,2.75,0.65625,5.5,39.0,4.0,45.25,22.0,5.25,44.0
max,2.0,8.0,6.0,1.375,9.125,3.0,2.625,7.875,48.0,11.0,73.0,24.0,21.0,63.0
