,mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,2.0,8.0,4.535,0.15625,5.33625,2.71625,0.0,5.38625,36.28,1.25,42.69,21.73,0.0,43.09
std,0.0,0.0,0.4757636073734624,0.28942591644687093,0.9983722547681847,0.15473890521739772,0.0,0.5948789771665725,3.8061088589876992,2.3154073315749675,7.986978038145478,1.2379112417391818,0.0,4.75903181733258
min,2.0,8.0,3.375,0.0,3.5,2.375,0.0,4.125,27.0,0.0,28.0,19.0,0.0,33.0
25%,2.0,8.0,4.25,0.0,4.5,2.625,0.0,5.0,34.0,0.0,36.0,21.0,0.0,40.0
50%,2.0,8.0,4.5,0.0,5.25,2.75,0.0,5.375,36.0,0.0,42.0,22.0,0.0,43.0
75%,2.0,8.0,4.875,0.25,5.875,2.875,0.0,5.75,39.0,2.0,47.0,23.0,0.0,46.0
max,2.0,8.0,5.875,0.875,8.375,3.125,0.0,6.75,47.0,7.0,67.0,25.0,0.0,54.0
